Test,R,p_str,log10_p,Slope,n
Full global dataset,-0.24400587514937597,< 1e-737,-736.2103186810929,-0.15684352627800213,53420
Excluding Africa,-0.24951608599593147,< 1e-713,-712.314345557044,-0.1617796208662495,49282
Excluding Antarctica,-0.24561833133445285,< 1e-746,-745.850974620876,-0.1582676368837808,53368
Excluding Asia,-0.2407302775387565,< 1e-685,-684.455396507184,-0.15479745332831152,51103
Excluding Europe,-0.21236885606538355,< 1e-457,-456.71535640643657,-0.14210768021211032,44362
Excluding North America,-0.25526271735631606,< 1e-588,-587.307998491647,-0.17414289181634432,38686
Excluding Oceania,-0.24386926812200221,< 1e-728,-727.3423393536941,-0.1574643736444491,52838
Excluding South America,-0.2477096017126725,< 1e-746,-745.6078805741405,-0.16016661725019443,52396
Excluding Unknown,-0.2680893219334463,< 1e-539,-538.2541302744061,-0.13514751705716044,31905
Outliers removed (0.5–99.5% quantiles),-0.2643504969405257,< 1e-865,-864.645851339284,-0.13989738147077366,52884
