eps,min_samples,n_clusters,n_noise,n_nonnoise,noise_frac,silhouette_nonnoise
0.25,5,21,133,53287,0.002489704230625234,0.36803292088334616
0.25,10,8,343,53077,0.006420816173717709,0.325267885707577
0.25,20,4,507,52913,0.009490827405466118,0.3015216089648855
0.3333333333333333,5,8,86,53334,0.0016098839385997753,0.641919005646977
0.3333333333333333,10,8,181,53239,0.0033882441033320854,0.48212272665949607
0.3333333333333333,20,1,393,53027,0.007356795207787346,
0.41666666666666663,5,3,56,53364,0.0010482965181579933,0.7059683292213175
0.41666666666666663,10,4,103,53317,0.001928116810183452,0.6271681793400955
0.41666666666666663,20,2,278,53142,0.005204043429427181,0.5044362354660197
0.5,5,4,36,53384,0.0006739049045301385,0.7554915346608615
0.5,10,1,68,53352,0.0012729314863347062,
0.5,20,1,198,53222,0.003706476974915762,
0.5833333333333333,5,4,19,53401,0.000355672032946462,0.7631758045139142
0.5833333333333333,10,1,61,53359,0.0011418944215649568,
0.5833333333333333,20,1,148,53272,0.002770497940846125,
0.6666666666666666,5,3,13,53407,0.00024335454885810557,0.7634332907083404
0.6666666666666666,10,1,49,53371,0.0009172594533882441,
0.6666666666666666,20,1,119,53301,0.0022276301010857357,
0.75,5,2,11,53409,0.0002059153874953201,0.7660119385874964
0.75,10,1,33,53387,0.0006177461624859603,
0.75,20,1,50,53370,0.0009359790340696368,
0.8333333333333333,5,2,6,53414,0.00011231748408835643,0.7658411055642702
0.8333333333333333,10,2,19,53401,0.000355672032946462,0.8598339837337284
0.8333333333333333,20,1,40,53380,0.0007487832272557095,
0.9166666666666666,5,2,6,53414,0.00011231748408835643,0.7658411055642702
0.9166666666666666,10,2,18,53402,0.00033695245226506926,0.8598194694021649
0.9166666666666666,20,1,36,53384,0.0006739049045301385,
1.0,5,2,6,53414,0.00011231748408835643,0.7658411055642702
1.0,10,1,18,53402,0.00033695245226506926,
1.0,20,1,32,53388,0.0005990265818045675,
