lon,lat,q
-28.0083,43.0317,282.0
-119.798,-19.405,196.0
-119.801,-19.3883,173.0
-116.84,-18.9267,753.0
-116.84,-18.9283,765.0
-116.835,-18.9283,389.0
-116.835,-18.9017,176.0
-116.835,-18.9067,176.0
-116.835,-18.91,219.0
-116.866,-18.9733,461.0
-116.866,-18.9733,216.0
-116.843,-18.9833,252.0
-114.951,-19.4833,250.0
-114.955,-19.4933,303.0
-114.981,-19.4933,194.0
-114.981,-19.495,230.0
-114.981,-19.5033,194.0
-114.975,-19.495,260.0
-114.973,-19.495,265.0
-114.968,-19.495,340.0
-114.965,-19.4967,289.0
-114.96,-19.5233,176.0
-114.958,-19.515,186.0
-114.96,-19.5083,178.0
-114.951,-19.5017,272.0
-114.94,-19.5,203.0
-178.05,52.25,195.0
-139.881,8.7817,169.0
53.0483,-54.4817,500.0
71.5317,-37.7983,510.0
-139.916,29.1817,283.0
68.0817,-14.8667,192.0
-85.9817,-29.2317,193.0
141.117,20.5317,187.0
66.2817,19.2,202.0
79.5,6.0167,271.0
-17.2717,-16.0733,201.0
-17.2717,-16.0733,214.0
-17.1717,-16.0183,214.0
-17.1967,-15.9583,173.0
-17.1967,-15.97,191.0
-17.1817,-16.005,192.0
-17.18,-16.0217,192.0
-17.18,-16.0267,171.0
-17.165,-16.0467,174.0
-17.2167,-16.065,177.0
-90.0317,-7.7,319.0
41.3667,16.3317,180.0
-80.25,-22.6167,191.0
162.0,-49.1167,341.0
161.84,-59.0467,385.0
169.707,-56.135,423.0
-58.3983,-56.25,244.0
-56.0483,-55.7317,218.0
41.7167,-20.6483,204.0
136.932,9.1817,209.0
-51.7667,28.5,230.0
-127.65,47.8983,304.0
135.367,15.2667,365.0
-97.4667,0.8317,178.0
-71.9817,25.6317,189.0
-30.5817,-6.1167,199.0
-32.3983,-18.5817,306.0
-47.8667,30.6667,253.0
-0.35,-32.1817,237.0
-47.21,26.4417,201.0
-32.7167,-1.4667,300.0
-28.97,63.75,871.0
174.517,-19.2167,223.0
177.198,-19.3983,178.0
-85.2317,6.5817,173.0
-86.2983,5.45,173.0
-86.8817,5.3817,491.0
-88.45,3.6817,281.0
-89.2667,3.0317,1500.0
-97.2817,6.35,173.0
-46.305,26.3083,222.0
-70.1667,35.2317,203.0
-58.2317,25.9817,170.0
173.667,-26.0317,264.0
176.348,-26.5167,252.0
122.548,-35.5317,171.0
129.332,-35.38,341.0
129.55,-34.95,566.0
80.9633,-1.3917,299.0
114.24438,-8.0605,1360.0
114.24416,-8.06034,4760.0
114.24409,-8.06048,21080.0
114.24403,-8.0605,109480.0
114.24488,-8.06034,59500.0
114.24468,-8.06074,15980.0
114.24466,-8.0607,10880.0
114.2445,-8.06058,35360.0
114.24423,-8.06033,7820.0
114.24429,-8.06025,5440.0
114.24419,-8.06005,2720.0
114.24427,-8.06099,5780.0
29.853,80.47,170.0
29.875,80.47,203.0
29.878,80.466,195.0
29.536,80.443,376.0
11.517,77.185,202.0
8.843,77.616,189.0
29.853,80.47,170.0
29.875,80.47,203.0
29.878,80.466,195.0
29.536,80.443,376.0
11.517,77.185,202.0
8.843,77.616,189.0
-117.317,-25.9667,398.0
-95.1667,-22.6667,179.0
-93.3667,-5.36667,179.0
-104.733,-6.31667,254.0
-86.9967,2.95167,267.0
-86.9117,2.72333,211.0
-87.0217,2.15167,187.0
-87.055,2.035,234.0
-86.835,2.305,196.0
-87.2533,2.34,188.0
34.1833,-56.5667,229.0
59.5833,-50.4667,271.0
88.0167,-5.0833,223.0
49.7,-24.6833,169.0
46.2167,-29.8,248.0
80.8667,-1.3167,203.0
-106.043,-15.1317,269.0
