lon,lat,q
-77.5,-45.7167,373.0
-77.25,-46.1667,454.0
-102.116,7.5167,174.0
-78.95,6.1817,176.0
93.75,10.0167,221.0
39.0,19.0833,197.0
39.0,19.0833,197.0
38.6833,19.7167,335.0
38.6833,19.7167,335.0
39.0,19.09,251.0
38.6833,19.7167,335.0
38.6833,19.7167,335.0
39.0,19.09,251.0
39.0,19.09,251.0
-90.407,14.156,380.0
38.6833,19.7167,335.0
-68.0167,-22.3317,304.0
126.0266667,26.20833333,437.0
-132.145,52.22,270.0
-132.136,52.22,265.0
-132.028,52.1567,247.0
-46.0817,22.755,180.0
127.155,27.58833333,376.0
127.2166667,27.58166667,666.0
127.2183333,27.58333333,665.0
127.06,27.26166667,371.0
127.0616667,27.26166667,344.0
127.0616667,27.26166667,479.0
127.06,27.255,310.0
127.0583333,27.25666667,244.0
127.075,27.25166667,234.0
127.0766667,27.25333333,463.0
127.0766667,27.255,482.0
126.9983333,27.235,319.0
127.0666667,27.25833333,913.0
127.21,27.58333333,922.0
127.2133333,27.58666667,313.0
127.2083333,27.58166667,584.0
127.21,27.58333333,503.0
127.215,27.58,456.0
127.2,27.58,481.0
127.2016667,27.58333333,611.0
127.1966667,27.57666667,2823.0
127.0966667,27.245,540.0
127.0866667,27.26333333,514.0
127.26,27.63833333,191.0
127.26,27.635,230.0
127.2566667,27.63166667,258.0
127.1533333,27.59,991.0
127.2133333,27.57666667,221.0
127.1916667,27.575,321.0
127.1366667,27.59333333,335.0
127.135,27.595,197.0
127.1383333,27.595,217.0
127.1466667,27.59166667,800.0
127.062,27.2617,371.0
127.062,27.2617,344.0
127.062,27.2633,479.0
127.06,27.255,310.0
127.058,27.255,244.0
127.075,27.2517,234.0
127.075,27.2533,463.0
127.077,27.255,482.0
127.072,27.2567,768.0
127.072,27.255,1350.0
127.072,27.2583,265.0
127.075,27.2583,1011.0
127.077,27.26,1810.0
127.08,27.2617,1310.0
127.08,27.265,3460.0
127.077,27.26,1430.0
127.075,27.2567,886.0
127.077,27.2567,447.0
127.077,27.2567,756.0
127.07,27.2583,233.0
126.983,27.53,231.0
127.0847,27.2652,3980.0
127.0855,27.2667,3090.0
127.0875,27.268,2380.0
127.0888,27.2692,2110.0
127.0848,27.2632,4100.0
127.087,27.2643,299.0
127.0878,27.2657,1930.0
127.091,27.2677,3100.0
127.0913,27.2687,209.0
127.0832,27.2675,200.0
126.7003,26.8812,190.0
127.2633,27.3063,347.0
127.064,27.2612,270.0
127.0868,27.2678,2670.0
127.0832,27.2642,25200.0
127.0828,27.2628,8080.0
127.0828,27.2657,4090.0
127.0805,27.2622,21700.0
127.0792,27.2617,3410.0
127.0792,27.2645,1020.0
127.072,27.262,945.0
127.2768,27.2897,255.0
127.0867,27.2467,514.0
127.0685,27.2517,5600.0
127.0683,27.2523,580.0
127.0788,27.2623,20900.0
127.0797,27.2653,1200.0
127.08,27.2655,7200.0
127.0822,27.2658,1700.0
127.0823,27.2662,72000.0
127.0823,27.2662,61000.0
127.0823,27.2662,66000.0
127.0823,27.2662,42000.0
127.0749,27.2663,31000.0
127.0612,27.2612,371.0
127.0617,27.2617,344.0
127.0613,27.2628,479.0
127.0593,27.2542,310.0
127.0585,27.2555,244.0
127.0752,27.2517,234.0
127.0757,27.2527,463.0
127.076,27.2548,482.0
