lat,lon,q,log_q,dist_gem_km,dist_pb_km,dist_min_km,n_meas
47.71,-127.7864,489000.0,5.689,151.967,128.226,128.226,1
47.7093,-127.7868,425000.0,5.628,152.075,128.184,128.184,1
47.71,-127.7864,410000.0,5.613,151.967,128.226,128.226,1
47.7099,-127.7864,383000.0,5.583,151.978,128.227,128.227,1
47.7099,-127.7864,207000.0,5.316,151.978,128.227,128.227,1
47.71,-127.7864,190000.0,5.279,151.967,128.226,128.226,1
47.71,-127.7863,180000.0,5.255,151.959,128.238,128.238,1
47.71,-127.786,154000.0,5.188,151.933,128.271,128.271,1
23.94106,-108.85576,123701.0,5.092,7.605,7.639,7.605,1
28.5717,140.6441,120744.0,5.082,238.561,238.57,238.561,1
-8.0605,114.24403,109480.0,5.039,333.558,332.18,332.18,1
28.5714,140.6447,105436.0,5.023,238.509,238.518,238.509,1
28.1369,-44.8305,89800.0,4.953,85.794,85.802,85.794,1
28.5715,140.6434,86000.0,4.934,238.643,238.652,238.643,1
28.5717,140.6441,81700.0,4.912,238.561,238.57,238.561,1
28.5715,140.6439,72842.0,4.862,238.59,238.599,238.59,1
47.7098,-127.7864,72700.0,4.862,151.988,128.227,128.227,1
23.95614,-108.86175,72632.0,4.861,6.722,6.752,6.722,1
27.2662,127.0823,72000.0,4.857,131.599,0.794,0.794,1
47.7099,-127.7864,70800.0,4.85,151.978,128.227,128.227,1
23.95619,-108.86199,68515.0,4.836,6.735,6.765,6.735,1
47.7099,-127.7864,66300.0,4.822,151.978,128.227,128.227,1
27.2662,127.0823,66000.0,4.82,131.599,0.794,0.794,1
27.2662,127.0823,61000.0,4.785,131.599,0.794,0.794,1
-8.06034,114.24488,59500.0,4.775,333.597,332.214,332.214,1
47.7098,-127.7865,57600.0,4.76,151.997,128.216,128.216,1
-38.26446,176.4222,48000.0,4.681,3.062,16.382,3.062,1
-38.27043,176.43475,45000.0,4.653,2.825,18.014,2.825,1
28.5717,140.6441,44204.0,4.645,238.561,238.57,238.561,1
27.2662,127.0823,42000.0,4.623,131.599,0.794,0.794,1
47.7098,-127.7864,41900.0,4.622,151.988,128.227,128.227,1
23.94233,-108.85577,37785.0,4.577,7.493,7.527,7.493,1
28.1368,-44.8302,37757.0,4.577,85.758,85.766,85.758,1
-8.06058,114.2445,35360.0,4.549,333.561,332.18,332.18,1
23.95431,-108.86192,34311.0,4.535,6.898,6.928,6.898,1
48.4557,-128.7094,33920.0,4.53,33.858,33.902,33.858,1
47.7101,-127.786,32600.0,4.513,151.922,128.271,128.271,1
27.2663,127.0749,31000.0,4.491,132.115,0.306,0.306,1
47.9553,-129.096,30468.0,4.484,3.447,3.457,3.447,1
47.7096,-127.7866,29400.0,4.468,152.026,128.206,128.206,1
23.95379,-108.86292,28134.0,4.449,7.019,7.049,7.019,1
28.5718,140.6435,27520.0,4.44,238.62,238.63,238.62,1
28.1358,-44.8308,26855.0,4.429,85.777,85.785,85.777,1
47.71,-127.7863,26000.0,4.415,151.959,128.238,128.238,1
48.4303,-128.6816,25680.0,4.41,33.835,33.87,33.835,1
47.71,-127.7863,25400.0,4.405,151.959,128.238,128.238,1
27.2642,127.0832,25200.0,4.401,131.339,1.056,1.056,1
23.95646,-108.86291,24143.0,4.383,6.782,6.811,6.782,1
28.5711,140.6436,23048.0,4.363,238.637,238.647,238.637,1
23.95684,-108.86236,22410.0,4.35,6.707,6.736,6.707,1
